symbol,avg_daily_volume
ADPT,2005508
OCG,2004102
TREX,2002358
HNST,2001303
OBAI,2000259
STIM,1996435
IQV,1995821
DLR,1995698
UGI,1993932
AMPL,1989358
AAP,1989277
EPRT,1987833
PAGP,1984945
AVPT,1983413
SUUN,1980836
WSC,1979954
ACGL,1976577
DEO,1973313
OXLC,1972432
RUM,1969474
CODX,1968611
STGW,1965299
FULT,1962015
CTAS,1960737
VNO,1956257
ALKT,1954431
PTLO,1953751
YUM,1952045
OHI,1944921
THM,1944673
MBOT,1942698
VVV,1942150
CRSP,1940892
LSCC,1940799
ATI,1938612
TEAD,1938231
NXT,1937263
ELS,1937106
HUM,1935612
IHS,1923924
MLTX,1923836
VRSK,1923086
WEAV,1921549
GH,1917583
SHO,1917482
BLSH,1914706
HLT,1914224
TNDM,1911117
MAC,1911085
TTI,1910225
PPTA,1909630
NEO,1907620
INCY,1907259
YYAI,1905490
AUTL,1903565
OLPX,1903377
LAB,1903094
TEX,1902336
OUST,1898770
DFNS,1898231
FCEL,1895235
LAUR,1894198
CREG,1891960
DXST,1891170
RPD,1889956
MMED,1882672
CHTR,1882660
KRG,1882150
IRM,1879926
MGA,1878997
STEX,1878207
ANNAW,1877974
NVCR,1877591
IPSC,1874449
LODE,1873787
HALO,1871786
RDY,1867823
PLNT,1867040
NOMD,1866300
FTAI,1864667
SGI,1863494
EQPT,1862902
MOH,1862854
VLTO,1861519
ELV,1860887
MDB,1860728
VHUB,1859728
ISRG,1856621
MTDR,1855963
AL,1854586
BJ,1853265
MYGN,1852259
NXXT,1850829
INV,1849261
ST,1847588
DOMO,1847171
LQDA,1846163
RPGL,1845494
BEAM,1843277
MT,1841569
BUR,1839717
HAYW,1839407
AVAV,1838451
HAS,1837567
PHM,1837206
IMRX,1837063
WETO,1836872
VSTM,1833493
SEM,1832891
BBBY,1832487
DFTX,1831700
SWK,1828651
TDC,1827894
IKT,1825929
KT,1824477
BVN,1823339
DC,1822037
ZION,1821429
PAYC,1820278
FNF,1816542
OPCH,1814781
PPCB,1813664
ATYR,1813246
ICLR,1812511
RAL,1806525
ERO,1805021
PLTK,1799621
PZG,1796015
OLMA,1795501
TXT,1793985
TGNA,1792791
YPF,1792656
EDIT,1791812
BNL,1791247
KULR,1790271
PSQH,1789028
PFG,1785327
GLNG,1782691
SVRA,1778027
IFF,1774436
SYM,1770760
CUE,1766700
VSAT,1766169
RLJ,1765407
MSAI,1765230
TTE,1764186
BG,1759952
EMN,1757183
PNFP,1756566
CAH,1747583
CCEP,1746559
SONO,1745140
XYL,1744088
URBN,1743183
SHW,1742594
TBLA,1740798
SN,1738446
CDW,1735260
HLF,1734910
MMYT,1734127
NESR,1729579
NAVN,1727475
AWK,1726752
IBIO,1726279
SXC,1725669
ASML,1724574
ASPN,1721894
XPO,1719874
CI,1717522
FOX,1715950
GMAB,1714279
HRTX,1713722
CB,1708777
AEE,1708068
SNDL,1707560
LASE,1706820
BARK,1706238
AHRT,1704954
UTZ,1704052
ABVE,1702476
FATE,1702337
MLECW,1700078
PNR,1698117
EFX,1696911
KNRX,1694018
ACRV,1693949
CRF,1691461
RWT,1690651
PAPL,1684956
CNI,1682251
SMTC,1679938
ALL,1679584
NUE,1677156
IMNM,1676916
NMR,1675658
FBLG,1674667
GEMI,1674324
QFIN,1673174
FTRE,1672075
WLTH,1667685
SBH,1665793
CLBT,1664327
AIOS,1662317
TDIC,1661692
GLUE,1661679
SGRY,1660005
REAX,1656826
SLDE,1656661
HP,1655875
ANF,1654590
BOBS,1653694
WYNN,1653185
MPLX,1651849
TS,1651358
ASTL,1648863
ORIC,1648863
ECVT,1648637
CERS,1648033
BWIN,1647950
GWRE,1646062
SVC,1641831
ATXG,1641828
UNM,1640598
HTHT,1638986
FWRG,1636440
SBLK,1632336
DNLI,1629759
SOWG,1628791
GOF,1628584
ESRT,1626070
HURA,1625564
JOB,1623738
NMRA,1621192
DLXY,1619843
VIVS,1618895
BEAT,1618685
GSIT,1618129
ROP,1617807
SPT,1617578
MAR,1617431
HLMN,1617337
HAFN,1616581
GSUN,1616571
EXTR,1616388
RNA,1612836
CYH,1612607
WOLF,1612286
LGO,1610333
ALC,1610214
ACAD,1609485
DRI,1609266
PRZO,1605025
TRV,1604321
OGE,1603504
PAR,1601579
HUBS,1601506
DAN,1601498
ERNA,1600626
SFL,1600524
GSBD,1596943
SPWR,1596349
YUMC,1594575
FLYW,1594259
WCN,1593511
VUZI,1590884
ALTO,1589897
MASI,1586369
DE,1585206
ICL,1584470
GFL,1583860
PRCT,1582622
PRCH,1581617
GVH,1580562
SPG,1580519
ASO,1577938
AROC,1577900
VOYG,1577773
GBTG,1575698
DRVN,1573829
LASR,1573691
JELD,1571816
SKM,1570667
VAL,1569386
DVS,1568565
PGNY,1567320
OMF,1567183
CNTX,1564817
PHR,1563351
TDAY,1563310
INN,1561258
NABL,1559969
IT,1558665
YOU,1557856
TT,1557848
LINE,1556315
LEG,1554066
FUTU,1552398
BRSL,1549737
VRRM,1548262
EXPD,1546930
HIG,1546607
GLDD,1543328
SLNO,1542398
EJH,1540479
VRE,1535863
LX,1535737
MNDR,1534504
AUST,1531068
TAC,1530471
AIOT,1530007
LIF,1529890
VEEA,1527203
GP,1525285
DTE,1525015
RTO,1524510
XXI,1521906
BKKT,1521362
KGS,1520210
CNDT,1518369
GLBE,1518011
ARQT,1516797
DFDV,1514744
OR,1512898
STAA,1509397
SHAK,1509018
DK,1508729
BRLS,1507167
GPRE,1501404
SHOO,1497036
WWW,1496586
KC,1495544
ACM,1494271
ACMR,1493947
NTST,1493254
YETI,1492535
APD,1492302
OLOX,1490233
HCWC,1490162
PBA,1489567
GRND,1487727
CYCN,1486755
MSS,1486291
SLQT,1483794
