symbol,avg_daily_volume
OPTT,14150971
OPTU,2240749
OPTX,2857046
OR,1512898
ORBS,13774873
ORC,7120015
ORCL,26858864
ORI,1975296
ORIC,1648863
ORKT,1053064
ORLA,2253870
ORLY,6041283
OS,4234399
OSCR,8011899
OSRH,1343976
OSS,2262344
OSW,1226470
OTEX,2024685
OTF,2391121
OTIS,3692260
OTLK,5270779
OUST,1898770
OUT,1396573
OVID,2594668
OVV,4885019
OWL,27354959
OXLC,1972432
OXSQ,1309722
OXY,14729850
OZK,1455130
PAA,3775818
PAAS,8697448
PACB,6987484
PACS,1019100
PAGP,1984945
PAGS,4082811
PALI,4441600
PANW,10053992
PAPL,1684956
PAR,1601579
PARR,1290400
PASW,3682899
PATH,34422766
PAVM,1007803
PAVS,2463910
PAYC,1820278
PAYO,4438617
PAYP,5972419
PAYX,3865383
PB,1220899
PBA,1489567
PBF,3606272
PBI,2405389
PBR,27220011
PCAR,3169420
PCG,21664777
PCOR,2377308
PCT,4502032
PCVX,1404314
PD,3131338
PDD,7802556
PDI,3152365
PDYN,4436737
PEB,2195384
PEG,2898478
PEGA,2194431
PELIR,1097232
PEN,980859
PENG,1203753
PENN,4418741
PEP,8049134
PFE,45479944
PFG,1785327
PFGC,2289195
PFLT,1166744
PG,11415947
PGEN,4062565
PGNY,1567320
PGR,3481758
PGY,3948799
PHAT,1144231
PHGE,1000444
PHIO,3784755
PHM,1837206
PHR,1563351
PICS,1153656
PINS,18657691
PK,3831417
PKG,1062262
PL,13454922
PLAB,1128283
PLAY,1176504
PLBY,1113719
PLD,3347267
PLG,4032576
PLNT,1867040
PLTK,1799621
PLTR,47684985
PLUG,95784065
PLX,1265495
PLYX,2998326
PM,5320218
PMT,1211614
PNC,2737914
PNFP,1756566
PNR,1698117
PNW,1315596
POAS,1178797
PODD,970041
POET,8843899
POLA,2007754
PONY,4306913
POR,1272861
PPCB,1813664
PPG,2180302
PPL,8680866
PPLC,1256090
PPTA,1909630
PR,12121177
PRCH,1581617
PRCT,1582622
PRGO,3092202
PRGS,966646
PRKS,1112781
PRMB,5904028
PRME,3044628
PROP,2057423
PRSO,7788242
PRU,2239489
PRZO,1605025
PSA,1221788
PSEC,4555188
PSKY,11144471
PSN,1249282
PSNL,1334894
PSO,1082294
PSQH,1789028
PSTG,3575969
PSTV,9373600
PSX,2832286
PTC,1081208
PTCT,1252388
PTEN,10935416
PTLO,1953751
PTON,12282815
PTRN,1050953
PTY,1369314
PUMP,2967352
PURR,3857276
PWP,964751
PWR,1053321
PYPL,23578821
PZG,1796015
PZZA,1321748
Q,2409154
QBTS,31040161
QCLS,1181019
QCOM,11837976
QDEL,1255330
QFIN,1673174
QGEN,2374577
QH,3825669
QNCX,64216025
QRVO,1352211
QS,13653660
QSI,4481151
QSR,3427364
QTWO,970403
QUBT,14158808
QURE,3329406
QXO,7956925
RAL,1806525
RANI,1100038
RARE,2843188
RAYA,995632
RBA,1443495
RBLX,11443085
RBNE,1352701
RBRK,3952797
RC,2928695
RCAT,15690507
RCI,1036575
RCKT,2706593
RCL,2447471
RCUS,1256037
RDDT,5365130
RDN,1386961
RDW,23498829
RDY,1867823
REAL,3195530
REAX,1656826
REG,1385615
REI,3920913
